province_confirmedCount,province_curedCount,provinceName,province_suspectedCount,updateTime
51986,4131,湖北省,0,2020-02-13
1241,314,广东省,0,2020-02-13
1169,296,河南省,0,2020-02-13
1145,360,浙江省,0,2020-02-13
910,157,安徽省,0,2020-02-13
872,170,江西省,0,2020-02-13
968,339,湖南省,0,2020-02-13
570,139,江苏省,0,2020-02-13
509,105,山东省,0,2020-02-13
529,128,重庆市,0,2020-02-13
418,37,黑龙江省,0,2020-02-13
451,104,四川省,0,2020-02-13
366,69,北京市,0,2020-02-13
318,62,上海市,0,2020-02-13
279,57,福建省,0,2020-02-13
283,69,河北省,0,2020-02-13
226,35,广西壮族自治区,0,2020-02-13
229,46,陕西省,0,2020-02-13
156,27,云南省,0,2020-02-13
157,30,海南省,0,2020-02-13
135,27,贵州省,0,2020-02-13
119,21,天津市,0,2020-02-13
117,22,辽宁省,0,2020-02-13
126,36,山西省,0,2020-02-13
84,24,吉林省,0,2020-02-13
63,6,新疆维吾尔自治区,0,2020-02-13
61,6,内蒙古自治区,0,2020-02-13
53,1,香港,0,2020-02-13
90,39,甘肃省,0,2020-02-13
64,24,宁夏回族自治区,0,2020-02-13
18,1,台湾,0,2020-02-13
10,3,澳门,0,2020-02-13
18,11,青海省,0,2020-02-13
1,1,西藏自治区,0,2020-02-13
